"","group","date","id","behav_code","domain","date2","year","domain_index","behavior_index","others","YEARmatch","group_index","mono_index","age","logage","logage.c","groupsize.c","ranklo","rankhi","male","sociality.s","groupsize","age.c"
"239","NM","12/6/11 10:58","NAO","TUGOWAR","social","2011-12-06",2011,4,122,0,2011,6,73,5,1.6094379124341,-0.388477734763775,3.6309067688378,0,0,0,0.258044396815618,3.6309067688378,-3.40495867768595
"240","RF","4/22/09 12:51","RS","TUGOWAR","social","2009-04-22",2009,4,122,0,2009,7,93,4,1.38629436111989,-0.611621286077985,-6.3690932311622,0,0,0,0.546615103297375,-6.3690932311622,-4.40495867768595
"241","RF","4/22/09 12:51","PX","TUGOWAR","social","2009-04-22",2009,4,122,0,2009,7,85,3,1.09861228866811,-0.899303358529766,-6.3690932311622,1,0,1,0.736649470980483,-6.3690932311622,-5.40495867768595
"242","SP","6/12/10 11:02","LB","TUGOWAR","social","2010-06-12",2010,4,122,0,2010,9,52,3,1.09861228866811,-0.899303358529766,8.6309067688378,1,0,1,0.15950805801697,8.6309067688378,-5.40495867768595
"243","SP","6/12/10 11:02","LZ","TUGOWAR","social","2010-06-12",2010,4,122,0,2010,9,59,5,1.6094379124341,-0.388477734763775,8.6309067688378,0,0,1,0.0257801696473748,8.6309067688378,-3.40495867768595
"244","NM","4/10/11 11:15","JY","GROOM_ANTEATER","investigative","2011-04-10",2011,2,22,0,2011,6,44,7,1.94591014905531,-0.0520054981425622,3.6309067688378,1,0,0,-0.600629412715463,3.6309067688378,-1.40495867768595
"245","FL","4/21/08 12:00","LT","GROOM_HOWLER","investigative","2008-04-21",2008,2,23,0,2008,4,56,5,1.6094379124341,-0.388477734763775,-7.3690932311622,0,0,1,-0.262790536834381,-7.3690932311622,-3.40495867768595
"246","FL","7/24/09 14:04","LT","PLAY_COW","investigative","2009-07-24",2009,2,79,0,2009,4,56,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,1,0.0398567894757533,-9.3690932311622,-2.40495867768595
"247","AA","3/26/07 13:57","OW","PLAY_HOWLER","investigative","2007-03-26",2007,2,80,0,2007,1,80,4,1.38629436111989,-0.611621286077985,1.6309067688378,0,0,1,0.462155384327104,1.6309067688378,-4.40495867768595
"248","FL","4/21/08 09:46","EI","PLAY_HOWLER","investigative","2008-04-21",2008,2,80,1,2008,4,27,5,1.6094379124341,-0.388477734763775,-7.3690932311622,1,0,0,-1.69860575932898,-7.3690932311622,-3.40495867768595
"249","RR","3/6/09 14:28","RT","GROOM_PORCUPINE","investigative","2009-03-06",2009,2,24,1,2009,8,94,6,1.79175946922805,-0.20615617796982,7.6309067688378,1,0,0,-0.727318991170868,7.6309067688378,-2.40495867768595
