"","group","date","id","behav_code","domain","date2","year","domain_index","behavior_index","others","YEARmatch","group_index","mono_index","age","logage","logage.c","groupsize.c","ranklo","rankhi","male","sociality.s","groupsize","age.c"
"59","CU","5/11/07 13:12","CH","OBJECT_PLAY_ROCK_BITE","investigative","2007-05-11",2007,2,66,0,2007,2,11,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,0,-0.811778710141138,-9.3690932311622,-2.40495867768595
"60","FL","7/22/09 11:46","EI","OBJECT_PLAY_ROCK_BITE","investigative","2009-07-22",2009,2,66,0,2009,4,27,6,1.79175946922805,-0.20615617796982,-9.3690932311622,0,0,0,-1.70564406924316,-9.3690932311622,-2.40495867768595
"61","RF","3/23/08 16:15","KT","OBJECT_PLAY_ROCK_CHALK","investigative","2008-03-23",2008,2,67,0,2008,7,49,5,1.6094379124341,-0.388477734763775,-8.3690932311622,0,0,0,0.15246974810278,-8.3690932311622,-3.40495867768595
"62","AA","5/5/09 12:58","MZ","OBJECT_PLAY_ROCK_DISPLAY","investigative","2009-05-05",2009,2,68,0,2009,1,72,5,1.6094379124341,-0.388477734763775,3.6309067688378,0,1,1,0.32842749595751,3.6309067688378,-3.40495867768595
"63","AA","3/2/11 07:58","DG","OBJECT_PLAY_HOTPOTATO","investigative","2011-03-02",2011,2,59,0,2011,1,17,5,1.6094379124341,-0.388477734763775,6.6309067688378,0,1,1,0.41288721492778,6.6309067688378,-3.40495867768595
"64","FF","7/23/07 14:25","TN","OBJECT_PLAY_ROCK_JUGGLE","investigative","2007-07-23",2007,2,69,0,2007,3,108,3,1.09861228866811,-0.899303358529766,15.6309067688378,1,0,1,1.28563764428724,15.6309067688378,-5.40495867768595
"65","RR","3/2/08 12:13","DK","OBJECT_PLAY_ROCK_POUND","investigative","2008-03-02",2008,2,70,0,2008,8,19,6,1.79175946922805,-0.20615617796982,7.6309067688378,0,0,1,0.110239888617645,7.6309067688378,-2.40495867768595
"66","AA","7/24/11 13:30","VR","OBJECT_PLAY_ROCK_SCRUB","investigative","2011-07-24",2011,2,71,1,2011,1,115,5,1.6094379124341,-0.388477734763775,6.6309067688378,0,0,1,0.532538483468996,6.6309067688378,-3.40495867768595
"67","SP","11/14/10 11:00","GB","OBJECT_PLAY_STICK_FULCRUM","investigative","2010-11-14",2010,2,72,0,2010,9,32,10,2.30258509299405,0.304669445796171,8.6309067688378,0,1,1,-1.33965195370533,8.6309067688378,1.59504132231405
"68","RF","2/19/08 13:30","KT","OBJECT_PLAY_STICK_ROLLINGPIN","investigative","2008-02-19",2008,2,73,0,2008,7,49,5,1.6094379124341,-0.388477734763775,-8.3690932311622,0,0,0,0.15246974810278,-8.3690932311622,-3.40495867768595
