"","group","date","ID","behav_code","domain","date2","year","others","domain_index","behavior_index","group_index","id"
"181","RR","5/12/09 10:30","SR,RT","HUG_DRAG_FROM_BEHIND","social",2009-05-12,2009,0,4,39,8,"RT"
"182","AA","4/5/09 12:35","KY,VM","INFANT_RETRIEVE_GAME","social",2009-04-05,2009,0,4,40,1,"KY"
"183","AA","4/5/09 12:35","KY,VM","INFANT_RETRIEVE_GAME","social",2009-04-05,2009,0,4,40,1,"VM"
"184","RF","11/13/09 08:46","RB,KT","INFANT_RIDE_FAKEOUT","social",2009-11-13,2009,0,4,41,7,"RB"
"185","RF","11/13/09 08:46","RB,KT","INFANT_RIDE_FAKEOUT","social",2009-11-13,2009,0,4,41,7,"KT"
"186","SP","11/4/11 14:48","GB,GU","LICK_HEAD","social",2011-11-04,2011,0,4,45,9,"GB"
"187","SP","11/4/11 14:48","GB,GU","LICK_HEAD","social",2011-11-04,2011,0,4,45,9,"GU"
"188","NM","3/21/11 08:34","MJ","MASTURBATE_SOCIAL_PARTNER TAIL","social",2011-03-21,2011,0,4,46,6,"MJ"
"189","RF","3/23/08 09:59","RH","MASTURBATE_SOCIAL_PARTNER TAIL","social",2008-03-23,2008,1,4,46,7,"RH"
"190","FL","6/21/11 07:38","EI,DV","NURSE INVITE","social",2011-06-21,2011,0,4,53,4,"EI"
"191","FL","6/21/11 07:38","EI,DV","NURSE INVITE","social",2011-06-21,2011,0,4,53,4,"DV"
"192","FF","2/7/09 12:28","TH,FE","NURSE_PREVENT_ARM_SQUEEZE","social",2009-02-07,2009,0,4,54,3,"TH"
"193","FF","2/7/09 12:28","TH,FE","NURSE_PREVENT_ARM_SQUEEZE","social",2009-02-07,2009,0,4,54,3,"FE"
"194","AA","8/5/08 08:16","DD","PARTNER_BODY_DISPLAYTOOL_BITE","social",2008-08-05,2008,0,4,78,1,"DD"
"195","NM","1/3/11 10:51","LL","PARTNER_BODY_DISPLAYTOOL_BITE","social",2011-01-03,2011,0,4,78,6,"LL"
"196","NM","1/21/11 07:50","LL","PARTNER_BODY_DISPLAYTOOL_SHAKE","social",2011-01-21,2011,0,4,79,6,"LL"
"197","RR","3/25/09 13:08","BE,TK","RUB_ARM","social",2009-03-25,2009,0,4,94,8,"BE"
"198","RR","3/25/09 13:08","BE,TK","RUB_ARM","social",2009-03-25,2009,0,4,94,8,"TK"
"199","RR","1/21/11 13:16","BE,YC","SCRATCH_USING_PARTNER_HAND","social",2011-01-21,2011,0,4,95,8,"BE"
"200","RR","1/21/11 13:16","BE,YC","SCRATCH_USING_PARTNER_HAND","social",2011-01-21,2011,0,4,95,8,"YC"
"201","RR","4/15/10 08:16","MO,MA","SELF_TAILSUCK_SOCIAL","social",2010-04-15,2010,0,4,97,8,"MO"
"202","RR","4/15/10 08:16","MO,MA","SELF_TAILSUCK_SOCIAL","social",2010-04-15,2010,0,4,97,8,"MA"
"203","RR","5/13/09 10:02","GT,SK","SHARE_FOOD","social",2009-05-13,2009,0,4,98,8,"GT"
"204","RR","5/13/09 10:02","GT,SK","SHARE_FOOD","social",2009-05-13,2009,0,4,98,8,"SK"
