"","group","date","ID","behav_code","domain","date2","year","others","domain_index","behavior_index","group_index","id"
"227","FL","7/26/07 11:18","TU,LN","THROW_JUGGLE_MONKEY","social",2007-07-26,2007,0,4,117,4,"LN"
"228","RR","2/4/08 11:42","GT,RG","TONGUEKISS","social",2008-02-04,2008,0,4,118,8,"GT"
"229","RR","2/4/08 11:42","GT,RG","TONGUEKISS","social",2008-02-04,2008,0,4,118,8,"RG"
"230","SP","4/10/10 16:28","KG,LZ","TONGUEKISS","social",2010-04-10,2010,0,4,118,9,"KG"
"231","SP","4/10/10 16:28","KG,LZ","TONGUEKISS","social",2010-04-10,2010,0,4,118,9,"LZ"
"232","NM","1/14/10 13:21","BJ,NH","TOYGAME","social",2010-01-14,2010,1,4,120,6,"BJ"
"233","NM","1/14/10 13:21","BJ,NH","TOYGAME","social",2010-01-14,2010,1,4,120,6,"NH"
"234","FF","5/16/09 08:41","CI,DL","TUGOWAR","social",2009-05-16,2009,0,4,124,3,"CI"
"235","FF","5/16/09 08:41","CI,DL","TUGOWAR","social",2009-05-16,2009,0,4,124,3,"DL"
"236","FL","6/17/10 10:49","ML,MX","TUGOWAR","social",2010-06-17,2010,0,4,124,4,"ML"
"237","FL","6/17/10 10:49","ML,MX","TUGOWAR","social",2010-06-17,2010,0,4,124,4,"MX"
"238","NM","12/6/11 10:58","MP,NAO","TUGOWAR","social",2011-12-06,2011,0,4,124,6,"MP"
"239","NM","12/6/11 10:58","MP,NAO","TUGOWAR","social",2011-12-06,2011,0,4,124,6,"NAO"
"240","RF","4/22/09 12:51","RS,PX","TUGOWAR","social",2009-04-22,2009,0,4,124,7,"RS"
"241","RF","4/22/09 12:51","RS,PX","TUGOWAR","social",2009-04-22,2009,0,4,124,7,"PX"
"242","SP","6/12/10 11:02","LB,LZ","TUGOWAR","social",2010-06-12,2010,0,4,124,9,"LB"
"243","SP","6/12/10 11:02","LB,LZ","TUGOWAR","social",2010-06-12,2010,0,4,124,9,"LZ"
"244","NM","4/10/11 11:15","JY","GROOM_ANTEATER","investigative",2011-04-10,2011,0,2,23,6,"JY"
"245","FL","4/21/08 12:00","LT","GROOM_HOWLER","investigative",2008-04-21,2008,0,2,24,4,"LT"
"246","FL","7/24/09 14:04","LT","PLAY_COW","investigative",2009-07-24,2009,0,2,80,4,"LT"
"247","AA","3/26/07 13:57","OW","PLAY_HOWLER","investigative",2007-03-26,2007,0,2,81,1,"OW"
"248","FL","4/21/08 09:46","EI","PLAY_HOWLER","investigative",2008-04-21,2008,1,2,81,4,"EI"
"249","RR","3/6/09 14:28","RT","GROOM_PORCUPINE","investigative",2009-03-06,2009,1,2,25,8,"RT"
