id,year,male,mono_index,sampyearsum,sociality,inno_count,domain_index,domain,age,logsampeff,MainGroup,group,rank_class,inno_count_ND,sociality.s,logage,logage.c,group_index,year_index,rankhi,rankmid,ranklo,innobinom,groupsize.c,innovator,innovatoryear
GU,2011,1,86,350,39.5,0,3,self-directed,10,5.857933154,SP,SP,high,1,-0.892665795,2.302585093,0.502391823,10,5,1,0,0,0,4.819332566,1,1
GU,2011,1,86,350,39.5,0,1,foraging,10,5.857933154,SP,SP,high,1,-0.892665795,2.302585093,0.502391823,10,5,1,0,0,0,4.819332566,1,1
GU,2011,1,86,350,39.5,1,4,social,10,5.857933154,SP,SP,high,1,-0.892665795,2.302585093,0.502391823,10,5,1,0,0,1,4.819332566,1,1
GY,2009,0,87,57,83.6,0,2,investigative,1,4.043051268,NM,NM,low,0,1.462065895,0,-1.80019327,7,3,0,0,1,0,-11.18066743,0,0
GY,2009,0,87,57,83.6,0,1,foraging,1,4.043051268,NM,NM,low,0,1.462065895,0,-1.80019327,7,3,0,0,1,0,-11.18066743,0,0
GY,2009,0,87,57,83.6,0,4,social,1,4.043051268,NM,NM,low,0,1.462065895,0,-1.80019327,7,3,0,0,1,0,-11.18066743,0,0
GY,2009,0,87,57,83.6,0,3,self-directed,1,4.043051268,NM,NM,low,0,1.462065895,0,-1.80019327,7,3,0,0,1,0,-11.18066743,0,0
GY,2010,0,87,120,62.8,0,2,investigative,2,4.787491743,NM,NM,low,0,0.351444146,0.693147181,-1.10704609,7,4,0,0,1,0,-5.180667434,0,0
GY,2010,0,87,120,62.8,0,4,social,2,4.787491743,NM,NM,low,0,0.351444146,0.693147181,-1.10704609,7,4,0,0,1,0,-5.180667434,0,0
GY,2010,0,87,120,62.8,0,1,foraging,2,4.787491743,NM,NM,low,0,0.351444146,0.693147181,-1.10704609,7,4,0,0,1,0,-5.180667434,0,0
GY,2010,0,87,120,62.8,0,3,self-directed,2,4.787491743,NM,NM,low,0,0.351444146,0.693147181,-1.10704609,7,4,0,0,1,0,-5.180667434,0,0
GY,2011,0,87,641,64.4,0,1,foraging,3,6.463029457,NM,NM,low,0,0.436876588,1.098612289,-0.701580981,7,5,0,0,1,0,3.819332566,0,0
GY,2011,0,87,641,64.4,0,4,social,3,6.463029457,NM,NM,low,0,0.436876588,1.098612289,-0.701580981,7,5,0,0,1,0,3.819332566,0,0
GY,2011,0,87,641,64.4,0,3,self-directed,3,6.463029457,NM,NM,low,0,0.436876588,1.098612289,-0.701580981,7,5,0,0,1,0,3.819332566,0,0
GY,2011,0,87,641,64.4,0,2,investigative,3,6.463029457,NM,NM,low,0,0.436876588,1.098612289,-0.701580981,7,5,0,0,1,0,3.819332566,0,0
HA,2007,1,88,1207,47.2,0,1,foraging,9,7.095893221,RR,RR,high,0,-0.481522167,2.197224577,0.397031307,9,1,1,0,0,0,6.819332566,0,0
HA,2007,1,88,1207,47.2,0,3,self-directed,9,7.095893221,RR,RR,high,0,-0.481522167,2.197224577,0.397031307,9,1,1,0,0,0,6.819332566,0,0
